,,,,,
County Name,Precinct Name,Precinct Code,Total Voters,Hillary Clinton (D),Donald J. Trump (R)
Cuyahoga,EUCLID-07-A,BQI,729,530,165
Cuyahoga,EUCLID-06-E,BQJ,664,449,180
Cuyahoga,EUCLID-06-D,BQK,667,456,184
Cuyahoga,EUCLID-01-A,BQT,592,520,62
Cuyahoga,EUCLID-01-B,BQU,601,505,75
Cuyahoga,EUCLID-01-C,BQV,572,511,39
Cuyahoga,EUCLID-01-D,BQW,966,928,17
Cuyahoga,EUCLID-01-E,BQX,542,490,33
Cuyahoga,EUCLID-02-D,BQY,705,513,159
Cuyahoga,EUCLID-02-C,BQZ,622,499,89
Cuyahoga,EUCLID-03-A,BRC,786,631,111
Cuyahoga,EUCLID-02-A,BRD,881,684,162
Cuyahoga,EUCLID-03-C,BRE,577,539,25
Cuyahoga,FAIRVIEW PARK-01-A,BRM,770,382,336
Cuyahoga,FAIRVIEW PARK-01-B,BRN,635,332,246
Cuyahoga,FAIRVIEW PARK-01-C,BRP,574,332,200
Cuyahoga,FAIRVIEW PARK-02-A,BRS,173,93,65
Cuyahoga,FAIRVIEW PARK-02-B,BRU,732,381,284
Cuyahoga,FAIRVIEW PARK-02-C,BRV,820,449,310
Cuyahoga,FAIRVIEW PARK-03-A,BRX,720,368,312
Cuyahoga,FAIRVIEW PARK-03-B,BRZ,795,410,323
Cuyahoga,FAIRVIEW PARK-03-C,BSA,702,385,261
Cuyahoga,FAIRVIEW PARK-04-A,BSE,914,454,401
Cuyahoga,FAIRVIEW PARK-04-B,BSG,874,489,311
Cuyahoga,FAIRVIEW PARK-05-B,BSJ,899,401,427
Cuyahoga,FAIRVIEW PARK-05-A,BSM,909,438,401
Cuyahoga,GARFIELD HEIGHTS-01-A,BSP,753,673,50
Cuyahoga,GARFIELD HEIGHTS-01-B,BSQ,659,645,9
Cuyahoga,GARFIELD HEIGHTS-01-C,BSR,545,528,9
Cuyahoga,GARFIELD HEIGHTS-02-A,BSX,521,362,126
Cuyahoga,GARFIELD HEIGHTS-02-B,BSY,611,406,179
Cuyahoga,GARFIELD HEIGHTS-02-C,BTA,499,337,135
Cuyahoga,GARFIELD HEIGHTS-03-A,BTG,752,526,173
Cuyahoga,GARFIELD HEIGHTS-03-B,BTI,771,545,189
Cuyahoga,GARFIELD HEIGHTS-04-A,BTM,506,345,136
Cuyahoga,GARFIELD HEIGHTS-04-B,BTN,644,399,214
Cuyahoga,GARFIELD HEIGHTS-04-C,BTO,648,431,180
Cuyahoga,GARFIELD HEIGHTS-05-A,BTT,766,476,253
Cuyahoga,GARFIELD HEIGHTS-05-B,BTU,851,533,261
Cuyahoga,GARFIELD HEIGHTS-06-A,BUA,706,448,220
Cuyahoga,GARFIELD HEIGHTS-06-B,BUB,654,413,207
Cuyahoga,GARFIELD HEIGHTS-06-C,BUD,653,390,219
Cuyahoga,GARFIELD HEIGHTS-07-C,BUJ,834,529,276
Cuyahoga,GARFIELD HEIGHTS-07-A,BUK,649,430,181
Cuyahoga,GARFIELD HEIGHTS-07-B,BUL,643,416,201
Cuyahoga,HIGHLAND HEIGHTS-01-A,BUP,707,313,352
Cuyahoga,HIGHLAND HEIGHTS-01-B,BUQ,659,281,331
Cuyahoga,HIGHLAND HEIGHTS-02-A,BUS,776,339,377
Cuyahoga,HIGHLAND HEIGHTS-02-B,BUT,608,295,273
Cuyahoga,HIGHLAND HEIGHTS-03-A,BUW,635,269,322
Cuyahoga,HIGHLAND HEIGHTS-03-B,BUX,650,257,349
Cuyahoga,HIGHLAND HEIGHTS-04-A,BUZ,617,254,319
Cuyahoga,HIGHLAND HEIGHTS-04-B,BVA,675,293,344
Cuyahoga,INDEPENDENCE-00-E,BVD,"1,021",379,588
Cuyahoga,INDEPENDENCE-00-D,BVF,830,287,483
Cuyahoga,INDEPENDENCE-00-B,BVH,893,280,558
Cuyahoga,INDEPENDENCE-00-C,BVI,974,329,589
Cuyahoga,INDEPENDENCE-00-A,BVJ,920,315,528
Cuyahoga,LAKEWOOD-01-H,BVM,968,569,326
Cuyahoga,LAKEWOOD-01-B,BVO,703,456,179
Cuyahoga,LAKEWOOD-01-D,BVP,735,481,193
Cuyahoga,LAKEWOOD-01-C,BVQ,693,439,198
Cuyahoga,LAKEWOOD-01-A,BVR,714,464,199
Cuyahoga,LAKEWOOD-01-F,BVU,624,426,142
Cuyahoga,LAKEWOOD-01-I,BVW,774,527,194
Cuyahoga,LAKEWOOD-01-G,BVX,677,437,187
Cuyahoga,LAKEWOOD-01-E,BWA,807,586,158
Cuyahoga,LAKEWOOD-02-A,BWG,800,578,160
Cuyahoga,LAKEWOOD-02-H,BWH,665,469,160
Cuyahoga,LAKEWOOD-02-C,BWI,803,520,204
Cuyahoga,LAKEWOOD-02-B,BWK,757,560,137
Cuyahoga,LAKEWOOD-02-D,BWL,740,473,201
Cuyahoga,LAKEWOOD-02-G,BWP,645,443,140
Cuyahoga,LAKEWOOD-02-F,BWQ,811,564,191
Cuyahoga,LAKEWOOD-02-E,BWR,894,608,230
Cuyahoga,LAKEWOOD-02-I,BWU,614,409,168
Cuyahoga,LAKEWOOD-03-A,BXC,823,482,287
Cuyahoga,LAKEWOOD-03-G,BXF,561,371,146
Cuyahoga,LAKEWOOD-03-B,BXI,754,522,181
Cuyahoga,LAKEWOOD-03-F,BXK,730,505,184
Cuyahoga,LAKEWOOD-03-E,BXL,526,351,137
Cuyahoga,LAKEWOOD-03-D,BXM,801,542,199
Cuyahoga,LAKEWOOD-03-C,BXN,829,577,182
Cuyahoga,LAKEWOOD-03-H,BXO,670,423,189
Cuyahoga,LAKEWOOD-03-I,BXP,766,537,170
Cuyahoga,LAKEWOOD-04-A,BXV,647,410,205
Cuyahoga,LAKEWOOD-04-B,BXW,857,571,233
Cuyahoga,LAKEWOOD-04-F,BXX,647,462,130
Cuyahoga,LAKEWOOD-04-E,BXZ,457,369,55
Cuyahoga,LAKEWOOD-04-D,BYC,863,619,184
Cuyahoga,LAKEWOOD-04-I,BYD,696,503,147
Cuyahoga,LAKEWOOD-04-J,BYF,485,358,92
Cuyahoga,LAKEWOOD-04-H,BYG,651,456,158
Cuyahoga,LAKEWOOD-04-C,BYH,504,376,95
Cuyahoga,LAKEWOOD-04-G,BYK,468,340,106
Cuyahoga,LYNDHURST-01-B,BYQ,697,425,227
Cuyahoga,LYNDHURST-01-C,BYR,807,454,309
Cuyahoga,LYNDHURST-01-A,BYS,623,382,219
Cuyahoga,LYNDHURST-02-A,BYW,903,495,335
Cuyahoga,LYNDHURST-02-B,BYX,927,472,397
Cuyahoga,LYNDHURST-03-A,BZB,817,566,219
Cuyahoga,LYNDHURST-03-B,BZC,737,441,253
Cuyahoga,LYNDHURST-03-C,BZD,668,403,222
Cuyahoga,LYNDHURST-04-A,BZJ,636,378,214
Cuyahoga,LYNDHURST-04-C,BZL,775,450,269
Cuyahoga,LYNDHURST-04-B,BZM,728,452,229
Cuyahoga,MAPLE HEIGHTS-01-B,BZR,852,597,233
Cuyahoga,MAPLE HEIGHTS-01-A,BZS,768,609,134
Cuyahoga,MAPLE HEIGHTS-02-A,BZW,819,673,125
Cuyahoga,MAPLE HEIGHTS-02-B,BZX,797,665,98
Cuyahoga,MAPLE HEIGHTS-03-A,CAC,772,580,158
Cuyahoga,MAPLE HEIGHTS-03-B,CAE,668,536,109
Cuyahoga,MAPLE HEIGHTS-04-A,CAG,570,498,60
Cuyahoga,MAPLE HEIGHTS-04-B,CAH,535,479,44
Cuyahoga,MAPLE HEIGHTS-04-C,CAJ,503,442,42
Cuyahoga,MAPLE HEIGHTS-05-A,CAL,762,665,78
Cuyahoga,MAPLE HEIGHTS-05-B,CAM,726,642,57
Cuyahoga,MAPLE HEIGHTS-06-B,CAR,777,703,50
Cuyahoga,MAPLE HEIGHTS-06-A,CAS,788,721,51
Cuyahoga,MAPLE HEIGHTS-07-B,CAW,569,522,35
Cuyahoga,MAPLE HEIGHTS-07-A,CAX,673,613,40
Cuyahoga,MAPLE HEIGHTS-07-C,CAY,631,587,25
Cuyahoga,MAYFIELD HEIGHTS-00-I,CBA,674,371,261
Cuyahoga,MAYFIELD HEIGHTS-00-J,CBE,597,480,89
Cuyahoga,MAYFIELD HEIGHTS-00-D,CBI,771,387,349
Cuyahoga,MAYFIELD HEIGHTS-00-F,CBK,653,391,227
Cuyahoga,MAYFIELD HEIGHTS-00-M,CBM,495,303,167
Cuyahoga,MAYFIELD HEIGHTS-00-B,CBP,728,380,304
Cuyahoga,MAYFIELD HEIGHTS-00-A,CBR,625,349,240
Cuyahoga,MAYFIELD HEIGHTS-00-C,CBT,870,441,375
Cuyahoga,MAYFIELD HEIGHTS-00-L,CBV,944,462,424
Cuyahoga,MAYFIELD HEIGHTS-00-K,CBX,880,409,408
Cuyahoga,MAYFIELD HEIGHTS-00-G,CBY,753,532,181
Cuyahoga,MAYFIELD HEIGHTS-00-E,CCA,741,474,235
Cuyahoga,MAYFIELD HEIGHTS-00-H,CCB,544,290,226
Cuyahoga,MIDDLEBURG HEIGHTS-01-A,CCH,978,449,465
Cuyahoga,MIDDLEBURG HEIGHTS-01-B,CCI,415,216,184
Cuyahoga,MIDDLEBURG HEIGHTS-01-C,CCJ,876,431,384
Cuyahoga,MIDDLEBURG HEIGHTS-02-A,CCN,762,327,372
Cuyahoga,MIDDLEBURG HEIGHTS-02-B,CCO,660,267,329
Cuyahoga,MIDDLEBURG HEIGHTS-02-C,CCQ,521,222,264
Cuyahoga,MIDDLEBURG HEIGHTS-03-A,CCT,755,326,388
Cuyahoga,MIDDLEBURG HEIGHTS-03-C,CCV,785,327,401
Cuyahoga,MIDDLEBURG HEIGHTS-03-B,CCX,741,300,383
Cuyahoga,MIDDLEBURG HEIGHTS-04-A,CDB,991,391,549
Cuyahoga,MIDDLEBURG HEIGHTS-04-B,CDD,918,365,468
Cuyahoga,NORTH OLMSTED-01-A,CDI,"1,019",447,496
Cuyahoga,NORTH OLMSTED-01-C,CDJ,971,466,433
Cuyahoga,NORTH OLMSTED-01-E,CDL,"1,010",492,459
Cuyahoga,NORTH OLMSTED-01-D,CDN,795,396,321
Cuyahoga,NORTH OLMSTED-02-A,CDT,972,466,436
Cuyahoga,NORTH OLMSTED-02-B,CDU,811,425,336
Cuyahoga,NORTH OLMSTED-02-C,CDV,702,323,316
Cuyahoga,NORTH OLMSTED-02-E,CDZ,724,367,308
Cuyahoga,NORTH OLMSTED-02-D,CEB,851,406,399
Cuyahoga,NORTH OLMSTED-03-A,CEE,719,385,297
Cuyahoga,NORTH OLMSTED-03-B,CEF,182,95,81
Cuyahoga,NORTH OLMSTED-03-C,CEG,961,448,446
Cuyahoga,NORTH OLMSTED-03-D,CEH,844,382,400
Cuyahoga,NORTH OLMSTED-03-F,CEJ,892,443,396
Cuyahoga,NORTH OLMSTED-03-E,CEL,"1,027",441,506
Cuyahoga,NORTH OLMSTED-04-A,CET,766,388,333
Cuyahoga,NORTH OLMSTED-04-C,CEW,775,412,309
Cuyahoga,NORTH OLMSTED-04-D,CEX,743,355,340
Cuyahoga,NORTH OLMSTED-04-E,CEY,772,389,322
Cuyahoga,NORTH OLMSTED-04-B,CEZ,608,337,231
Cuyahoga,NORTH ROYALTON-01-A,CFD,825,289,469
Cuyahoga,NORTH ROYALTON-01-B,CFE,833,294,478
Cuyahoga,NORTH ROYALTON-01-C,CFG,859,326,482
Cuyahoga,NORTH ROYALTON-02-A,CFI,873,288,521
Cuyahoga,NORTH ROYALTON-02-B,CFJ,866,265,561
Cuyahoga,NORTH ROYALTON-02-C,CFK,812,295,460
Cuyahoga,NORTH ROYALTON-02-D,CFL,205,63,130
Cuyahoga,NORTH ROYALTON-03-A,CFQ,700,216,433
Cuyahoga,NORTH ROYALTON-03-B,CFR,968,391,533
Cuyahoga,NORTH ROYALTON-03-C,CFS,766,280,430
Cuyahoga,NORTH ROYALTON-03-D,CFT,423,194,199
Cuyahoga,NORTH ROYALTON-04-A,CFW,873,322,492
Cuyahoga,NORTH ROYALTON-04-C,CFZ,755,273,434
Cuyahoga,NORTH ROYALTON-04-B,CGB,745,345,355
Cuyahoga,NORTH ROYALTON-05-A,CGC,589,264,280
Cuyahoga,NORTH ROYALTON-05-B,CGE,733,295,390
Cuyahoga,NORTH ROYALTON-05-D,CGF,911,368,480
Cuyahoga,NORTH ROYALTON-05-C,CGG,783,330,394
Cuyahoga,NORTH ROYALTON-06-A,CGH,655,254,353
Cuyahoga,NORTH ROYALTON-06-B,CGI,930,290,584
Cuyahoga,NORTH ROYALTON-06-D,CGK,935,286,586
Cuyahoga,NORTH ROYALTON-06-C,CGL,680,211,430
Cuyahoga,OLMSTED FALLS-01-A,CGN,438,209,190
Cuyahoga,OLMSTED FALLS-01-B,CGO,543,251,240
Cuyahoga,OLMSTED FALLS-02-A,CGP,577,265,265
Cuyahoga,OLMSTED FALLS-02-B,CGQ,739,337,344
Cuyahoga,OLMSTED FALLS-03-A,CGS,920,428,431
Cuyahoga,OLMSTED FALLS-03-B,CGT,387,193,164
Cuyahoga,OLMSTED FALLS-04-A,CGV,569,265,262
Cuyahoga,OLMSTED FALLS-04-B,CGW,627,285,292
Cuyahoga,PARMA-01-A,CGX,460,245,185
Cuyahoga,PARMA-01-B,CGY,606,284,275
Cuyahoga,PARMA-01-D,CHA,825,356,402
Cuyahoga,PARMA-01-F,CHC,576,338,205
Cuyahoga,PARMA-01-E,CHE,707,321,312
Cuyahoga,PARMA-01-C,CHG,643,335,270
Cuyahoga,PARMA-02-A,CHL,684,325,316
Cuyahoga,PARMA-02-B,CHM,811,361,386
Cuyahoga,PARMA-02-C,CHS,804,375,367
Cuyahoga,PARMA-02-E,CHU,900,408,418
Cuyahoga,PARMA-02-D,CHV,733,335,337
Cuyahoga,PARMA-03-A,CIC,712,305,351
Cuyahoga,PARMA-03-D,CID,697,314,336
Cuyahoga,PARMA-03-E,CIE,665,322,293
Cuyahoga,PARMA-03-B,CIF,595,259,266
Cuyahoga,PARMA-03-C,CII,546,224,281
Cuyahoga,PARMA-03-F,CIJ,562,263,251
Cuyahoga,PARMA-04-A,CIP,762,429,270
Cuyahoga,PARMA-04-C,CIR,746,373,315
Cuyahoga,PARMA-04-D,CIS,733,370,311
Cuyahoga,PARMA-04-B,CIT,698,310,329
Cuyahoga,PARMA-04-E,CIV,807,390,347
Cuyahoga,PARMA-05-A,CJB,899,381,460
Cuyahoga,PARMA-05-F,CJE,646,268,334
Cuyahoga,PARMA-05-E,CJF,790,296,451
Cuyahoga,PARMA-06-D,CJG,617,251,331
Cuyahoga,PARMA-05-C,CJI,858,330,480
Cuyahoga,PARMA-05-D,CJJ,746,285,421
Cuyahoga,PARMA-06-A,CJP,760,323,386
Cuyahoga,PARMA-06-E,CJQ,718,300,372
Cuyahoga,PARMA-06-B,CJU,733,301,390
Cuyahoga,PARMA-09-E,CJV,806,317,435
Cuyahoga,PARMA-06-C,CJX,707,274,385
Cuyahoga,PARMA-06-F,CJY,738,270,421
Cuyahoga,PARMA-07-C,CKE,626,258,327
Cuyahoga,PARMA-07-B,CKF,747,296,403
Cuyahoga,PARMA-07-E,CKH,809,332,431
Cuyahoga,PARMA-07-F,CKI,545,262,245
Cuyahoga,PARMA-07-D,CKL,775,329,388
Cuyahoga,PARMA-07-A,CKM,813,303,447
Cuyahoga,PARMA-08-A,CKT,808,385,362
Cuyahoga,PARMA-08-D,CKV,762,342,368
Cuyahoga,PARMA-08-E,CKW,707,349,326
Cuyahoga,PARMA-08-C,CKY,841,394,384
Cuyahoga,PARMA-08-B,CLB,673,303,328
Cuyahoga,PARMA-09-A,CLH,271,128,115
Cuyahoga,PARMA-09-C,CLI,655,284,319
Cuyahoga,PARMA-09-D,CLK,742,349,348
Cuyahoga,PARMA-09-F,CLO,834,355,415
Cuyahoga,PARMA-05-B,CLP,859,423,387
Cuyahoga,PARMA-09-B,CLQ,763,338,367
Cuyahoga,PARMA HEIGHTS-01-B,CLZ,817,381,371
Cuyahoga,PARMA HEIGHTS-03-A,CMB,799,351,383
Cuyahoga,PARMA HEIGHTS-03-B,CMD,845,372,409
Cuyahoga,PARMA HEIGHTS-04-B,CME,736,365,315
Cuyahoga,PARMA HEIGHTS-04-C,CMG,846,393,407
Cuyahoga,PARMA HEIGHTS-02-A,CMJ,836,369,404
Cuyahoga,PARMA HEIGHTS-04-A,CMK,757,361,352
Cuyahoga,PARMA HEIGHTS-02-C,CMM,643,361,248
Cuyahoga,PARMA HEIGHTS-02-B,CMO,828,319,443
Cuyahoga,PARMA HEIGHTS-01-A,CMP,723,417,258
Cuyahoga,PARMA HEIGHTS-03-C,CMR,590,294,240
Cuyahoga,PARMA HEIGHTS-01-C,CMT,823,434,355
Cuyahoga,PEPPER PIKE-00-A,CMY,777,502,239
Cuyahoga,PEPPER PIKE-00-B,CMZ,753,455,247
Cuyahoga,PEPPER PIKE-00-C,CNA,885,567,290
Cuyahoga,PEPPER PIKE-00-D,CNB,919,547,309
Cuyahoga,PEPPER PIKE-00-E,CNE,792,496,254
Cuyahoga,RICHMOND HEIGHTS-01-A,CNI,809,549,234
Cuyahoga,RICHMOND HEIGHTS-01-B,CNJ,441,416,14
Cuyahoga,RICHMOND HEIGHTS-02-A,CNM,648,488,132
Cuyahoga,RICHMOND HEIGHTS-02-B,CNO,688,530,128
Cuyahoga,RICHMOND HEIGHTS-03-A,CNQ,583,418,141
Cuyahoga,RICHMOND HEIGHTS-03-B,CNR,581,440,125
Cuyahoga,RICHMOND HEIGHTS-03-C,CNS,397,269,109
Cuyahoga,RICHMOND HEIGHTS-04-A,CNV,916,668,219
Cuyahoga,RICHMOND HEIGHTS-04-B,CNX,682,488,167
Cuyahoga,ROCKY RIVER-01-A,COA,884,442,377
Cuyahoga,ROCKY RIVER-01-C,COC,657,307,309
Cuyahoga,ROCKY RIVER-01-D,COD,860,440,350
Cuyahoga,ROCKY RIVER-01-B,COF,840,365,385
Cuyahoga,ROCKY RIVER-02-B,COK,820,434,340
Cuyahoga,ROCKY RIVER-02-C,COM,828,418,367
Cuyahoga,ROCKY RIVER-02-A,COO,749,365,331
Cuyahoga,ROCKY RIVER-02-D,COP,823,400,370
Cuyahoga,ROCKY RIVER-03-A,COU,951,490,386
Cuyahoga,ROCKY RIVER-03-B,COV,744,409,276
Cuyahoga,ROCKY RIVER-03-C,COW,816,447,313
Cuyahoga,ROCKY RIVER-03-D,COX,723,436,236
Cuyahoga,ROCKY RIVER-04-A,CPD,608,347,216
Cuyahoga,ROCKY RIVER-04-B,CPE,731,382,296
Cuyahoga,ROCKY RIVER-04-C,CPH,744,390,288
Cuyahoga,ROCKY RIVER-04-D,CPI,968,513,389
Cuyahoga,SEVEN HILLS-01-A,CPM,851,335,445
Cuyahoga,SEVEN HILLS-01-B,CPO,912,395,445
Cuyahoga,SEVEN HILLS-02-B,CPS,906,372,477
Cuyahoga,SEVEN HILLS-02-A,CPT,849,336,451
Cuyahoga,SEVEN HILLS-03-B,CPX,944,403,481
Cuyahoga,SEVEN HILLS-03-A,CPY,910,324,528
Cuyahoga,SEVEN HILLS-04-A,CQB,927,363,501
Cuyahoga,SEVEN HILLS-04-B,CQC,797,322,423
Cuyahoga,SHAKER HEIGHTS-00-M,CQJ,797,660,98
Cuyahoga,SHAKER HEIGHTS-00-N,CQK,657,592,40
Cuyahoga,SHAKER HEIGHTS-00-D,CQL,870,768,70
Cuyahoga,SHAKER HEIGHTS-00-E,CQM,726,637,58
Cuyahoga,SHAKER HEIGHTS-00-K,CQN,741,649,63
Cuyahoga,SHAKER HEIGHTS-00-C,CQQ,929,803,83
Cuyahoga,SHAKER HEIGHTS-00-A,CQR,722,625,54
Cuyahoga,SHAKER HEIGHTS-00-J,CQU,915,772,101
Cuyahoga,SHAKER HEIGHTS-00-F,CQV,579,532,28
Cuyahoga,SHAKER HEIGHTS-00-H,CQW,900,845,31
Cuyahoga,SHAKER HEIGHTS-00-B,CQZ,787,609,148
Cuyahoga,SHAKER HEIGHTS-00-O,CRA,939,775,123
Cuyahoga,SHAKER HEIGHTS-00-S,CRB,861,676,131
Cuyahoga,SHAKER HEIGHTS-00-T,CRE,847,665,127
Cuyahoga,SHAKER HEIGHTS-00-L,CRI,776,697,51
Cuyahoga,SHAKER HEIGHTS-00-G,CRK,778,740,19
Cuyahoga,SHAKER HEIGHTS-00-R,CRQ,913,773,105
Cuyahoga,SHAKER HEIGHTS-00-Q,CRS,925,769,108
Cuyahoga,SHAKER HEIGHTS-00-U,CRW,"1,016",703,229
Cuyahoga,SHAKER HEIGHTS-00-I,CRY,826,667,124
Cuyahoga,SHAKER HEIGHTS-00-P,CSA,714,497,178
Cuyahoga,SOLON-01-A,CSD,944,570,314
Cuyahoga,SOLON-01-B,CSF,941,536,350
Cuyahoga,SOLON-02-A,CSH,735,421,275
Cuyahoga,SOLON-02-B,CSI,844,590,212
Cuyahoga,SOLON-03-A,CSJ,"1,016",555,404
Cuyahoga,SOLON-03-B,CSK,996,506,420
Cuyahoga,SOLON-04-A,CSM,593,350,202
Cuyahoga,SOLON-04-B,CSN,618,321,264
Cuyahoga,SOLON-04-C,CSO,925,519,355
Cuyahoga,SOLON-05-A,CSR,"1,080",702,313
Cuyahoga,SOLON-05-B,CST,"1,079",661,356
Cuyahoga,SOLON-06-A,CSV,964,621,296
Cuyahoga,SOLON-06-B,CSX,"1,075",674,342
Cuyahoga,SOLON-07-A,CSZ,945,502,398
Cuyahoga,SOLON-07-B,CTA,859,471,332
Cuyahoga,SOUTH EUCLID-01-D,CTD,797,631,130
Cuyahoga,SOUTH EUCLID-01-C,CTE,899,640,202
Cuyahoga,SOUTH EUCLID-01-B,CTG,759,672,62
Cuyahoga,SOUTH EUCLID-01-A,CTI,686,611,60
Cuyahoga,SOUTH EUCLID-02-A,CTM,823,604,158
Cuyahoga,SOUTH EUCLID-02-D,CTN,686,464,189
Cuyahoga,SOUTH EUCLID-02-C,CTP,885,636,205
Cuyahoga,SOUTH EUCLID-02-B,CTS,866,640,179
Cuyahoga,SOUTH EUCLID-03-A,CTW,694,577,93
Cuyahoga,SOUTH EUCLID-03-D,CTX,710,396,269
Cuyahoga,SOUTH EUCLID-03-C,CTY,684,512,137
Cuyahoga,SOUTH EUCLID-03-B,CTZ,632,524,68
Cuyahoga,SOUTH EUCLID-04-D,CUF,749,520,190
Cuyahoga,SOUTH EUCLID-04-C,CUG,527,449,58
Cuyahoga,SOUTH EUCLID-04-A,CUI,846,747,72
Cuyahoga,SOUTH EUCLID-04-B,CUJ,541,462,57
Cuyahoga,STRONGSVILLE-01-A,CUQ,906,361,489
Cuyahoga,STRONGSVILLE-01-C,CUR,858,383,417
Cuyahoga,STRONGSVILLE-01-D,CUS,"1,013",422,526
Cuyahoga,STRONGSVILLE-01-F,CUT,"1,030",372,603
Cuyahoga,STRONGSVILLE-01-E,CUU,682,356,293
Cuyahoga,STRONGSVILLE-01-G,CUV,782,330,407
Cuyahoga,STRONGSVILLE-01-B,CUY,529,285,209
Cuyahoga,STRONGSVILLE-02-A,CVD,805,307,428
Cuyahoga,STRONGSVILLE-02-C,CVE,793,319,439
Cuyahoga,STRONGSVILLE-02-D,CVF,736,289,397
Cuyahoga,STRONGSVILLE-02-F,CVI,753,279,426
Cuyahoga,STRONGSVILLE-02-H,CVJ,726,295,392
Cuyahoga,STRONGSVILLE-02-I,CVK,854,357,440
Cuyahoga,STRONGSVILLE-02-B,CVN,644,251,344
Cuyahoga,STRONGSVILLE-02-E,CVO,477,209,247
Cuyahoga,STRONGSVILLE-02-G,CVP,814,320,439
Cuyahoga,STRONGSVILLE-03-B,CVQ,930,400,459
Cuyahoga,STRONGSVILLE-03-A,CVT,915,369,495
Cuyahoga,STRONGSVILLE-03-E,CVU,991,379,557
Cuyahoga,STRONGSVILLE-03-D,CVW,"1,001",407,533
Cuyahoga,STRONGSVILLE-03-C,CVX,"1,011",422,528
Cuyahoga,STRONGSVILLE-03-F,CVY,834,314,465
Cuyahoga,STRONGSVILLE-03-G,CWB,715,291,374
Cuyahoga,STRONGSVILLE-04-A,CWG,973,404,507
Cuyahoga,STRONGSVILLE-04-C,CWH,"1,002",392,555
Cuyahoga,STRONGSVILLE-04-D,CWI,665,271,355
Cuyahoga,STRONGSVILLE-04-E,CWJ,947,380,518
Cuyahoga,STRONGSVILLE-04-G,CWK,856,354,432
Cuyahoga,STRONGSVILLE-04-B,CWL,989,409,506
Cuyahoga,STRONGSVILLE-04-F,CWM,805,323,440
Cuyahoga,UNIVERSITY HEIGHTS-00-A,CWO,689,594,70
Cuyahoga,UNIVERSITY HEIGHTS-00-C,CWQ,694,575,70
Cuyahoga,UNIVERSITY HEIGHTS-00-B,CWS,674,571,78
Cuyahoga,UNIVERSITY HEIGHTS-00-F,CWT,635,448,143
Cuyahoga,UNIVERSITY HEIGHTS-00-E,CWW,702,523,136
Cuyahoga,UNIVERSITY HEIGHTS-00-G,CWX,809,531,229
Cuyahoga,UNIVERSITY HEIGHTS-00-H,CXA,793,382,367
Cuyahoga,UNIVERSITY HEIGHTS-00-I,CXC,871,427,376
Cuyahoga,UNIVERSITY HEIGHTS-00-D,CXD,827,574,203
Cuyahoga,WESTLAKE-01-A,CYE,954,424,472
Cuyahoga,WESTLAKE-01-C,CYG,961,406,473
Cuyahoga,WESTLAKE-01-B,CYH,658,295,328
Cuyahoga,WESTLAKE-01-D,CYJ,724,281,390
Cuyahoga,WESTLAKE-02-A,CYL,691,319,323
Cuyahoga,WESTLAKE-02-C,CYN,731,343,326
Cuyahoga,WESTLAKE-02-D,CYP,700,334,332
Cuyahoga,WESTLAKE-02-B,CYQ,814,382,367
Cuyahoga,WESTLAKE-03-A,CYR,634,293,293
Cuyahoga,WESTLAKE-03-C,CYT,845,422,359
Cuyahoga,WESTLAKE-03-B,CYW,554,323,190
Cuyahoga,WESTLAKE-03-D,CYX,563,299,216
Cuyahoga,WESTLAKE-04-A,CYY,795,348,386
Cuyahoga,WESTLAKE-04-B,CYZ,787,332,391
Cuyahoga,WESTLAKE-04-C,CZA,694,350,300
Cuyahoga,WESTLAKE-04-D,CZC,951,464,432
Cuyahoga,WESTLAKE-05-A,CZE,821,309,467
Cuyahoga,WESTLAKE-05-D,CZF,790,390,343
Cuyahoga,WESTLAKE-05-C,CZG,788,345,387
Cuyahoga,WESTLAKE-05-B,CZJ,825,402,363
Cuyahoga,WESTLAKE-06-A,CZM,715,313,362
Cuyahoga,WESTLAKE-06-B,CZN,867,388,417
Cuyahoga,WESTLAKE-06-C,CZO,887,322,500
Cuyahoga,WESTLAKE-06-D,CZP,988,429,482
Cuyahoga,BENTLEYVILLE-00-A,CZS,597,255,291
Cuyahoga,BRATENAHL-00-A,CZT,947,608,289
Cuyahoga,LINNDALE-00-A,CZW,43,30,11
Cuyahoga,BROOKLYN HEIGHTS-00-A,CZX,919,361,485
Cuyahoga,CHAGRIN FALLS-00-B,DAA,840,439,329
Cuyahoga,CHAGRIN FALLS-00-C,DAB,759,385,319
Cuyahoga,CHAGRIN FALLS-00-A,DAE,976,498,384
Cuyahoga,CHAGRIN FALLS TWP-00-A,DAF,80,29,41
Cuyahoga,ORANGE-00-B,DAH,672,499,133
Cuyahoga,ORANGE-00-C,DAI,815,583,198
Cuyahoga,ORANGE-00-A,DAJ,642,462,148
Cuyahoga,GLENWILLOW-01-A,DAK,139,112,22
Cuyahoga,GLENWILLOW-02-A,DAL,157,80,63
Cuyahoga,GLENWILLOW-03-A,DAM,142,100,38
Cuyahoga,HUNTING VALLEY-00-A,DAN,419,162,218
Cuyahoga,NEWBURGH HEIGHTS-00-A,DAO,655,361,264
Cuyahoga,OAKWOOD-01-A,DAS,489,416,62
Cuyahoga,OAKWOOD-02-A,DAW,534,513,14
