Block,Total,White,Black,Asian,Hispanic
"Block 4036, Block Group 4, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 4037, Block Group 4, Census Tract 9535, Gallia County, Ohio",13,9,4,0,0
"Block 4038, Block Group 4, Census Tract 9535, Gallia County, Ohio",15,14,0,0,0
"Block 4039, Block Group 4, Census Tract 9535, Gallia County, Ohio",13,9,4,0,0
"Block 4040, Block Group 4, Census Tract 9535, Gallia County, Ohio",18,18,0,0,0
"Block 4041, Block Group 4, Census Tract 9535, Gallia County, Ohio",47,46,0,0,0
"Block 4042, Block Group 4, Census Tract 9535, Gallia County, Ohio",39,39,0,0,0
"Block 4043, Block Group 4, Census Tract 9535, Gallia County, Ohio",57,56,0,0,0
"Block 4044, Block Group 4, Census Tract 9535, Gallia County, Ohio",78,72,6,0,0
"Block 4045, Block Group 4, Census Tract 9535, Gallia County, Ohio",41,36,0,1,0
"Block 4046, Block Group 4, Census Tract 9535, Gallia County, Ohio",118,111,6,1,0
"Block 4047, Block Group 4, Census Tract 9535, Gallia County, Ohio",14,14,0,0,0
"Block 4048, Block Group 4, Census Tract 9535, Gallia County, Ohio",43,41,0,0,0
"Block 4049, Block Group 4, Census Tract 9535, Gallia County, Ohio",62,60,1,0,0
"Block 4050, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4051, Block Group 4, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 4052, Block Group 4, Census Tract 9535, Gallia County, Ohio",13,13,0,0,0
"Block 4053, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4054, Block Group 4, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 4055, Block Group 4, Census Tract 9535, Gallia County, Ohio",9,5,4,0,0
"Block 4056, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4057, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4058, Block Group 4, Census Tract 9535, Gallia County, Ohio",3,3,0,0,0
"Block 4059, Block Group 4, Census Tract 9535, Gallia County, Ohio",29,29,0,0,0
"Block 4060, Block Group 4, Census Tract 9535, Gallia County, Ohio",19,19,0,0,0
"Block 4061, Block Group 4, Census Tract 9535, Gallia County, Ohio",14,14,0,0,0
"Block 4062, Block Group 4, Census Tract 9535, Gallia County, Ohio",64,62,1,0,0
"Block 4063, Block Group 4, Census Tract 9535, Gallia County, Ohio",19,19,0,0,0
"Block 4064, Block Group 4, Census Tract 9535, Gallia County, Ohio",7,7,0,0,0
"Block 4065, Block Group 4, Census Tract 9535, Gallia County, Ohio",122,117,0,3,0
"Block 4066, Block Group 4, Census Tract 9535, Gallia County, Ohio",60,59,0,0,0
"Block 4067, Block Group 4, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 4068, Block Group 4, Census Tract 9535, Gallia County, Ohio",7,6,1,0,0
"Block 4069, Block Group 4, Census Tract 9535, Gallia County, Ohio",16,10,6,0,0
"Block 4070, Block Group 4, Census Tract 9535, Gallia County, Ohio",15,15,0,0,0
"Block 4071, Block Group 4, Census Tract 9535, Gallia County, Ohio",114,114,0,0,0
"Block 4072, Block Group 4, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 4073, Block Group 4, Census Tract 9535, Gallia County, Ohio",36,35,0,1,0
"Block 1000, Block Group 1, Census Tract 9536, Gallia County, Ohio",20,8,0,0,0
"Block 1001, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1002, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 9536, Gallia County, Ohio",4,3,0,0,0
"Block 1005, Block Group 1, Census Tract 9536, Gallia County, Ohio",5,5,0,0,0
"Block 1006, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1007, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1008, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1009, Block Group 1, Census Tract 9536, Gallia County, Ohio",20,20,0,0,0
"Block 1010, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1011, Block Group 1, Census Tract 9536, Gallia County, Ohio",1,1,0,0,0
"Block 1012, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1013, Block Group 1, Census Tract 9536, Gallia County, Ohio",27,27,0,0,0
"Block 1014, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1015, Block Group 1, Census Tract 9536, Gallia County, Ohio",14,13,0,0,0
"Block 1016, Block Group 1, Census Tract 9536, Gallia County, Ohio",7,7,0,0,0
"Block 1017, Block Group 1, Census Tract 9536, Gallia County, Ohio",9,9,0,0,0
"Block 1018, Block Group 1, Census Tract 9536, Gallia County, Ohio",65,65,0,0,0
"Block 1019, Block Group 1, Census Tract 9536, Gallia County, Ohio",34,34,0,0,0
"Block 1020, Block Group 1, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 1021, Block Group 1, Census Tract 9536, Gallia County, Ohio",24,24,0,0,0
"Block 1022, Block Group 1, Census Tract 9536, Gallia County, Ohio",7,7,0,0,0
"Block 1023, Block Group 1, Census Tract 9536, Gallia County, Ohio",11,8,3,0,0
"Block 1024, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1025, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1026, Block Group 1, Census Tract 9536, Gallia County, Ohio",12,12,0,0,0
"Block 1027, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1028, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1029, Block Group 1, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 1030, Block Group 1, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 1031, Block Group 1, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 1032, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1033, Block Group 1, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 1034, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1035, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1036, Block Group 1, Census Tract 9536, Gallia County, Ohio",23,23,0,0,0
"Block 1037, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1038, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1039, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1040, Block Group 1, Census Tract 9536, Gallia County, Ohio",25,25,0,0,0
"Block 1041, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1042, Block Group 1, Census Tract 9536, Gallia County, Ohio",55,53,1,0,0
"Block 1043, Block Group 1, Census Tract 9536, Gallia County, Ohio",24,24,0,0,0
"Block 1044, Block Group 1, Census Tract 9536, Gallia County, Ohio",112,112,0,0,0
"Block 1045, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1046, Block Group 1, Census Tract 9536, Gallia County, Ohio",39,39,0,0,0
"Block 1047, Block Group 1, Census Tract 9536, Gallia County, Ohio",10,10,0,0,0
"Block 1048, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1049, Block Group 1, Census Tract 9536, Gallia County, Ohio",40,40,0,0,0
"Block 1050, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1051, Block Group 1, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 1052, Block Group 1, Census Tract 9536, Gallia County, Ohio",55,55,0,0,0
"Block 1053, Block Group 1, Census Tract 9536, Gallia County, Ohio",40,39,0,0,0
"Block 1054, Block Group 1, Census Tract 9536, Gallia County, Ohio",5,3,2,0,0
"Block 1055, Block Group 1, Census Tract 9536, Gallia County, Ohio",4,4,0,0,0
"Block 1056, Block Group 1, Census Tract 9536, Gallia County, Ohio",41,41,0,0,0
"Block 1057, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1058, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1059, Block Group 1, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 1060, Block Group 1, Census Tract 9536, Gallia County, Ohio",10,10,0,0,0
"Block 1061, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1062, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1063, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1064, Block Group 1, Census Tract 9536, Gallia County, Ohio",11,11,0,0,0
"Block 1065, Block Group 1, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 1066, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1067, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1068, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1069, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1070, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1071, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1072, Block Group 1, Census Tract 9536, Gallia County, Ohio",1,0,0,0,0
"Block 1073, Block Group 1, Census Tract 9536, Gallia County, Ohio",3,3,0,0,0
"Block 1074, Block Group 1, Census Tract 9536, Gallia County, Ohio",6,6,0,0,0
"Block 1075, Block Group 1, Census Tract 9536, Gallia County, Ohio",1,1,0,0,0
"Block 1076, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1077, Block Group 1, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 1078, Block Group 1, Census Tract 9536, Gallia County, Ohio",13,9,0,0,0
"Block 1079, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1080, Block Group 1, Census Tract 9536, Gallia County, Ohio",9,9,0,0,0
"Block 1081, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1082, Block Group 1, Census Tract 9536, Gallia County, Ohio",1,1,0,0,0
"Block 1083, Block Group 1, Census Tract 9536, Gallia County, Ohio",11,11,0,0,0
"Block 1084, Block Group 1, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 1085, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1086, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1087, Block Group 1, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 1088, Block Group 1, Census Tract 9536, Gallia County, Ohio",7,7,0,0,0
"Block 1089, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1090, Block Group 1, Census Tract 9536, Gallia County, Ohio",11,11,0,0,0
"Block 1091, Block Group 1, Census Tract 9536, Gallia County, Ohio",4,4,0,0,0
"Block 1092, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1093, Block Group 1, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 1094, Block Group 1, Census Tract 9536, Gallia County, Ohio",12,12,0,0,0
"Block 1095, Block Group 1, Census Tract 9536, Gallia County, Ohio",3,3,0,0,0
"Block 1096, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1097, Block Group 1, Census Tract 9536, Gallia County, Ohio",7,7,0,0,0
"Block 1098, Block Group 1, Census Tract 9536, Gallia County, Ohio",6,3,0,0,0
"Block 1099, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1100, Block Group 1, Census Tract 9536, Gallia County, Ohio",36,36,0,0,0
"Block 1101, Block Group 1, Census Tract 9536, Gallia County, Ohio",24,24,0,0,0
"Block 1102, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1103, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1104, Block Group 1, Census Tract 9536, Gallia County, Ohio",19,19,0,0,0
"Block 1105, Block Group 1, Census Tract 9536, Gallia County, Ohio",21,21,0,0,0
"Block 1106, Block Group 1, Census Tract 9536, Gallia County, Ohio",16,16,0,0,0
"Block 1107, Block Group 1, Census Tract 9536, Gallia County, Ohio",42,42,0,0,0
"Block 1108, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1109, Block Group 1, Census Tract 9536, Gallia County, Ohio",95,94,0,0,0
"Block 1110, Block Group 1, Census Tract 9536, Gallia County, Ohio",17,17,0,0,0
"Block 1111, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1112, Block Group 1, Census Tract 9536, Gallia County, Ohio",15,15,0,0,0
"Block 1113, Block Group 1, Census Tract 9536, Gallia County, Ohio",21,17,3,0,0
"Block 1114, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1115, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1116, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1117, Block Group 1, Census Tract 9536, Gallia County, Ohio",4,4,0,0,0
"Block 1118, Block Group 1, Census Tract 9536, Gallia County, Ohio",40,39,0,0,0
"Block 1119, Block Group 1, Census Tract 9536, Gallia County, Ohio",31,30,1,0,0
"Block 1120, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1121, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1122, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1123, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1124, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1125, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1126, Block Group 1, Census Tract 9536, Gallia County, Ohio",11,11,0,0,0
"Block 1127, Block Group 1, Census Tract 9536, Gallia County, Ohio",3,3,0,0,0
"Block 1128, Block Group 1, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 1129, Block Group 1, Census Tract 9536, Gallia County, Ohio",6,6,0,0,0
"Block 1130, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1131, Block Group 1, Census Tract 9536, Gallia County, Ohio",9,8,1,0,0
"Block 1132, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1133, Block Group 1, Census Tract 9536, Gallia County, Ohio",4,4,0,0,0
"Block 1134, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1135, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1136, Block Group 1, Census Tract 9536, Gallia County, Ohio",6,6,0,0,0
"Block 1137, Block Group 1, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 1138, Block Group 1, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 1139, Block Group 1, Census Tract 9536, Gallia County, Ohio",9,9,0,0,0
"Block 2000, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2001, Block Group 2, Census Tract 9536, Gallia County, Ohio",21,21,0,0,0
"Block 2002, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2003, Block Group 2, Census Tract 9536, Gallia County, Ohio",4,4,0,0,0
"Block 2004, Block Group 2, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 2005, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2006, Block Group 2, Census Tract 9536, Gallia County, Ohio",33,32,1,0,0
"Block 2007, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2008, Block Group 2, Census Tract 9536, Gallia County, Ohio",3,3,0,0,0
"Block 2009, Block Group 2, Census Tract 9536, Gallia County, Ohio",32,26,0,0,0
"Block 2010, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2011, Block Group 2, Census Tract 9536, Gallia County, Ohio",19,19,0,0,0
"Block 2012, Block Group 2, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 2013, Block Group 2, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 2014, Block Group 2, Census Tract 9536, Gallia County, Ohio",16,16,0,0,0
"Block 2015, Block Group 2, Census Tract 9536, Gallia County, Ohio",11,11,0,0,0
"Block 2016, Block Group 2, Census Tract 9536, Gallia County, Ohio",40,40,0,0,0
"Block 2017, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2018, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2019, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2020, Block Group 2, Census Tract 9536, Gallia County, Ohio",29,29,0,0,0
"Block 2021, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2022, Block Group 2, Census Tract 9536, Gallia County, Ohio",4,4,0,0,0
"Block 2023, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2024, Block Group 2, Census Tract 9536, Gallia County, Ohio",20,20,0,0,0
"Block 2025, Block Group 2, Census Tract 9536, Gallia County, Ohio",3,3,0,0,0
"Block 2026, Block Group 2, Census Tract 9536, Gallia County, Ohio",4,0,4,0,0
"Block 2027, Block Group 2, Census Tract 9536, Gallia County, Ohio",10,6,4,0,0
"Block 2028, Block Group 2, Census Tract 9536, Gallia County, Ohio",35,32,1,0,0
"Block 2029, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2030, Block Group 2, Census Tract 9536, Gallia County, Ohio",12,12,0,0,0
"Block 2031, Block Group 2, Census Tract 9536, Gallia County, Ohio",5,5,0,0,0
"Block 2032, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2033, Block Group 2, Census Tract 9536, Gallia County, Ohio",49,46,0,0,0
"Block 2034, Block Group 2, Census Tract 9536, Gallia County, Ohio",3,2,0,0,0
"Block 2035, Block Group 2, Census Tract 9536, Gallia County, Ohio",67,64,0,0,0
"Block 2036, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2037, Block Group 2, Census Tract 9536, Gallia County, Ohio",3,3,0,0,0
"Block 2038, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2039, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2040, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2041, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2042, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2043, Block Group 2, Census Tract 9536, Gallia County, Ohio",26,26,0,0,0
"Block 2044, Block Group 2, Census Tract 9536, Gallia County, Ohio",6,6,0,0,0
"Block 2045, Block Group 2, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 2046, Block Group 2, Census Tract 9536, Gallia County, Ohio",4,4,0,0,0
"Block 2047, Block Group 2, Census Tract 9536, Gallia County, Ohio",10,10,0,0,0
"Block 2048, Block Group 2, Census Tract 9536, Gallia County, Ohio",69,68,1,0,0
"Block 2049, Block Group 2, Census Tract 9536, Gallia County, Ohio",36,33,3,0,0
"Block 2050, Block Group 2, Census Tract 9536, Gallia County, Ohio",33,33,0,0,0
"Block 2051, Block Group 2, Census Tract 9536, Gallia County, Ohio",5,5,0,0,0
"Block 2052, Block Group 2, Census Tract 9536, Gallia County, Ohio",12,11,1,0,0
"Block 2053, Block Group 2, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 2054, Block Group 2, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 2055, Block Group 2, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 2056, Block Group 2, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 2057, Block Group 2, Census Tract 9536, Gallia County, Ohio",47,46,0,0,0
"Block 2058, Block Group 2, Census Tract 9536, Gallia County, Ohio",19,19,0,0,0
"Block 2059, Block Group 2, Census Tract 9536, Gallia County, Ohio",8,8,0,0,0
"Block 2060, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2061, Block Group 2, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 2062, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2063, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2064, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2065, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2066, Block Group 2, Census Tract 9536, Gallia County, Ohio",6,6,0,0,0
"Block 2067, Block Group 2, Census Tract 9536, Gallia County, Ohio",4,4,0,0,0
"Block 2068, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2069, Block Group 2, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 2070, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2071, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2072, Block Group 2, Census Tract 9536, Gallia County, Ohio",25,25,0,0,0
"Block 2073, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2074, Block Group 2, Census Tract 9536, Gallia County, Ohio",15,15,0,0,0
"Block 2075, Block Group 2, Census Tract 9536, Gallia County, Ohio",13,11,1,0,0
"Block 2076, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2077, Block Group 2, Census Tract 9536, Gallia County, Ohio",17,17,0,0,0
"Block 2078, Block Group 2, Census Tract 9536, Gallia County, Ohio",8,7,1,0,0
"Block 2079, Block Group 2, Census Tract 9536, Gallia County, Ohio",7,7,0,0,0
"Block 2080, Block Group 2, Census Tract 9536, Gallia County, Ohio",25,25,0,0,0
"Block 2081, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2082, Block Group 2, Census Tract 9536, Gallia County, Ohio",39,39,0,0,0
"Block 2083, Block Group 2, Census Tract 9536, Gallia County, Ohio",14,14,0,0,0
"Block 2084, Block Group 2, Census Tract 9536, Gallia County, Ohio",72,69,3,0,0
"Block 2085, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2086, Block Group 2, Census Tract 9536, Gallia County, Ohio",40,40,0,0,0
"Block 2087, Block Group 2, Census Tract 9536, Gallia County, Ohio",34,34,0,0,0
"Block 2088, Block Group 2, Census Tract 9536, Gallia County, Ohio",10,10,0,0,0
"Block 2089, Block Group 2, Census Tract 9536, Gallia County, Ohio",88,88,0,0,0
"Block 2090, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2091, Block Group 2, Census Tract 9536, Gallia County, Ohio",10,9,0,0,0
"Block 2092, Block Group 2, Census Tract 9536, Gallia County, Ohio",10,10,0,0,0
"Block 2093, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2094, Block Group 2, Census Tract 9536, Gallia County, Ohio",15,13,2,0,0
"Block 2095, Block Group 2, Census Tract 9536, Gallia County, Ohio",14,14,0,0,0
"Block 2096, Block Group 2, Census Tract 9536, Gallia County, Ohio",6,6,0,0,0
"Block 2097, Block Group 2, Census Tract 9536, Gallia County, Ohio",25,23,2,0,0
"Block 2098, Block Group 2, Census Tract 9536, Gallia County, Ohio",3,3,0,0,0
"Block 2099, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2100, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2101, Block Group 2, Census Tract 9536, Gallia County, Ohio",4,4,0,0,0
"Block 2102, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2103, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2104, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2105, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2106, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2107, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2108, Block Group 2, Census Tract 9536, Gallia County, Ohio",17,17,0,0,0
"Block 2109, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2110, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2111, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2112, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 2113, Block Group 2, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3000, Block Group 3, Census Tract 9536, Gallia County, Ohio",39,39,0,0,0
"Block 3001, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3002, Block Group 3, Census Tract 9536, Gallia County, Ohio",80,75,2,0,0
"Block 3003, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3004, Block Group 3, Census Tract 9536, Gallia County, Ohio",13,13,0,0,0
"Block 3005, Block Group 3, Census Tract 9536, Gallia County, Ohio",107,100,5,0,0
"Block 3006, Block Group 3, Census Tract 9536, Gallia County, Ohio",37,31,0,0,0
"Block 3007, Block Group 3, Census Tract 9536, Gallia County, Ohio",2,2,0,0,0
"Block 3008, Block Group 3, Census Tract 9536, Gallia County, Ohio",49,46,1,0,0
"Block 3009, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3010, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3011, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3012, Block Group 3, Census Tract 9536, Gallia County, Ohio",11,11,0,0,0
"Block 3013, Block Group 3, Census Tract 9536, Gallia County, Ohio",3,3,0,0,0
"Block 3014, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3015, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3016, Block Group 3, Census Tract 9536, Gallia County, Ohio",1,0,1,0,0
"Block 3017, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3018, Block Group 3, Census Tract 9536, Gallia County, Ohio",55,55,0,0,0
"Block 3019, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3020, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3021, Block Group 3, Census Tract 9536, Gallia County, Ohio",12,11,0,0,0
"Block 3022, Block Group 3, Census Tract 9536, Gallia County, Ohio",0,0,0,0,0
"Block 3023, Block Group 3, Census Tract 9536, Gallia County, Ohio",7,7,0,0,0
"Block 3024, Block Group 3, Census Tract 9536, Gallia County, Ohio",47,45,2,0,0
